"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7S49AXEZ","book","2020","Connable, Ben","Russia’s Hostile Measures: Combating Russian Gray Zone Aggression Against NATO in the Contact, Blunt, and Surge Layers of Competition","","","","","","","2020","2023-06-06 03:54:04","2024-05-15 21:04:26","","","","","","","","","","","","","RAND Corporation","","en","","","","","","","","","/Users/jonathan/Zotero/storage/IA8LWMYJ/0606n Connable2020 - Russia_s Hostile Measures- Combating Russian Gray Zone Aggression Against NATO in the Contact, Blunt.pdf","","Russia; NS3401; Russia - Contain; supplemental","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QIWZLLHU","book","2019","Dobbins, James","Overextending and Unbalancing Russia","","","","","","","2019","2023-06-06 03:54:04","2024-05-15 21:04:31","","","","","","","","","","","","","RAND Corporation","Santa Monica, CA","fr","","","","","","","","","/Users/jonathan/Zotero/storage/M4IGKZDP/0606m Dobbins2019 - Overextending and Unbalancing Russia.pdf","","Russia; NS3401; Russia - Contain; supplemental","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KF2A5SP8","document","2023","Economist, The","Russia’s Friends Are a Motley—and Shrinking—Crew","","","","","","","2023-03-14","2023-06-06 03:54:04","2024-05-15 21:04:27","","","","","","","","","","","","","","","nl","","","","","","","","","/Users/jonathan/Zotero/storage/F8TKBLAF/0606l Economist - Russia’s allies are a motley—and shrinking—crew.pdf","","Russia; NS3401; Russia - Contain; supplemental","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7VJF6MIY","journalArticle","2023","Parsi, Trita","No, Weakening Russia Is Not ‘Costing Peanuts’ for the U.S","The New Republic","","","","","","2023-01-20","2023-06-06 03:54:04","2024-05-15 21:04:33","","","","","","","","","","","","","","","et","","","","","","","","","/Users/jonathan/Zotero/storage/T3IJ5TQD/0606k Parsi - No, Weakening Russia Is Not “Costing Peanuts” for the U.S. _ The New Republic.pdf","","Russia; NS3401; Russia - Contain; supplemental","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NPKTBHFH","journalArticle","2022","Ash, Timothy","It’s Costing Peanuts for the US to Defeat Russia","CEPA","","","","","","2022-11-18","2023-06-06 03:54:04","2024-05-15 21:04:34","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/QAXCZKU7/0606j Ash - It’s Costing Peanuts for the US to Defeat Russia - CEPA.pdf","","Russia; NS3401; Russia - Contain; supplemental","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HUJTZ8IT","journalArticle","2022","Cohen, Eliot A.","The Strategy That Can Defeat Putin","The Atlantic","","","","","","2022","2023-06-06 03:54:03","2024-05-15 21:04:23","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/LP9M9NBG/0606i Cohen - The Strategy the West Needs to Beat Russia - The Atlantic.pdf","","Russia; NS3401; Russia - Contain; supplemental","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3DF9UKBB","journalArticle","2023","McFaul, Michael","How to Get a Breakthrough in Ukraine","Foreign Affairs","","","","","","2023-01-30","2023-06-06 03:54:03","2024-05-15 21:04:35","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/CPHXB2DU/0606h Mcfaul - How to Get a Breakthrough in Ukraine.pdf","","Russia; NS3401; Russia - Contain; supplemental","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CW24J55M","journalArticle","1946","Kennan, George F.","The Sources of Soviet Conduct","Foreign Affairs","","","","","","1946","2023-06-06 03:54:03","2024-05-17 21:26:48","","566–82","","4","25","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/X5RUNYGF/0606g Kennan - Sources of Soviet Conduct.pdf","","Russia; NS3401; Russia - Contain; Seminal; supplemental; 0 AGREE / LIKE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DTHD6IRR","document","","Tetrais, Bruno","After the Fall. Must We Prepare for the Breakup of Russia?” Institut Montaigne","","","","","","","","2023-06-06 03:46:45","2023-08-24 20:02:24","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/MPP2XDC9/0606f Tetrais - After the Fall Must We Prepare for the Breakup of Russia_ _ Institut Montaigne.pdf","","Russia; NS3401; Russia - Contain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F8Q6E5IR","journalArticle","2023","Galeotti, Mark","Putin’s Real Threat Comes from Russia’s ‘Turbo-Patriots.’","The Spectator","","","","","","2023-02-07","2023-06-06 03:46:45","2023-08-24 20:01:47","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/9454TZPK/Galeotti - 2023 - Putin’s Real Threat Comes from Russia’s ‘Turbo-Pat.pdf","","Russia; NS3401; Russia - Contain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SLY33FT8","journalArticle","2023","Gould-Davies, Nigel","Putin Has No Red Lines","The New York Times","","","","","","2023-01-01","2023-06-06 03:46:45","2023-08-24 20:00:47","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/PWG8HRSA/0606d Gould-Davies_2023_Opinion Putin Has No Red Lines.pdf","","Russia; NS3401; Russia - Contain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BEK3786G","journalArticle","2023","Soldatov, Andrei; Borogan, Irina","Russia’s Halfway to Hell Strategy","Foreign Affairs","","","","","","2023-03-04","2023-06-06 03:46:45","2023-08-24 19:59:59","","","","","","","","","","","","","","","nl","","","","","","","","","/Users/jonathan/Zotero/storage/UTHX7J5A/0606c Soldatov and Borogan - Russia’s Halfway to Hell Strategy.pdf","","Russia; NS3401; Russia - Contain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9C4SBX53","journalArticle","2023","Greene, Sam; Polyakova, Alina","Russia Wants a Long War","Foreign Affairs","","","","","","2023-03-16","2023-06-06 03:46:45","2024-05-17 21:15:06","","","","","","","","","","","","","","","fr","","","","","","","","","/Users/jonathan/Zotero/storage/EI6LJFV7/0606b Greene and Polyakova - The West Needs to Send Ukraine More Arms, More Qui.pdf","","Russia; NS3401; Russia - Contain; 0 Prescient","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VD3J6BFV","document","2023","Charap, Samuel; Priebe, Miranda","Avoiding a Long War: U.S. Policy and the Trajectory of the Russia-Ukraine Conflict","","","","","","","2023","2023-06-06 03:46:45","2023-08-24 19:58:52","","","","","","","","","","","","","RAND Corporation","","en","","","","","","","","","/Users/jonathan/Zotero/storage/87WIT4M9/0606a Charap_Samuel_Priebe Avoiding a Long War U.S. Policy and the Trajector.pdf","","Russia; NS3401; Russia - Contain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HK35ZWY6","journalArticle","2020","Arutunyan, Anna","There Is No Russian Plot Against America: The Kremlin's Electoral Interference ls All Madness and No Method","Foreign Affairs","","","","","","2020-08-05","2023-08-24 19:52:39","2023-08-24 19:54:33","","","","","","","","","","","","","","","","","","","","","","","","/Users/jonathan/Zotero/storage/AABSD4C4/Arutunyan2020 - There Is No Russian Plot Against America- The Kremlin-s Electoral Interference ls All Madness and No.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82489M2A","book","2018","Dobbins, James; Shatz, Howard J.; Wyne, Ali","Russia Is a Rogue, Not a Peer; China Is a Peer, Not a Rogue","","","","","","","2018","2023-05-25 17:25:40","2023-08-24 19:50:46","","","","","","","","","","","","","RAND","","pt","","","","","","","","","/Users/jonathan/Zotero/storage/92L7HINH/0601 Dobbins - Russia Is a Rogue, Not a Peer China Is a Peer Not a Rogue.pdf","","Russia; NS3401; Russia - Putin Regime; Russia - China; Russia - Threat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FD78P43C","journalArticle","2023","Schlosser, Eric","The Greatest Nuclear Threat We Face Is a Russian Victory","The Atlantic","","","","","","2023-01-18","2023-05-31 22:52:47","2023-08-24 19:47:09","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/KRMYBCI5/0601c Schlosser - The Greatest Nuclear Threat We Face Is a Russian Victory.pdf","","Russia; NS3401; Russia - Threat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M7SM7GMK","journalArticle","2021","Vershinin, Alex","Feeding the Bear: A Closer Look at Russian Army Logistics and the Fait Accompli","War on the Rocks","","","","","","2021","2023-05-29 22:52:20","2023-08-24 19:43:39","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/I2QNNECG/0530d Vershinin2021 - Feeding the Bear- A Closer Look at Russian Army Logistics and the Fait Accompli.pdf","","Russia; NS3401; Russia - Putin Regime; Russia - Ukraine Invasion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EAINX7EB","journalArticle","2022","Zabrodskyi, Mykhaylo; Watling, Jack; Oleksandar, Danylyk; Reynolds, Nick","Preliminary Lessons in Conventional Warfighting from Russia’s Invasion of Ukraine: February–July 2022","Royal United Services Institute","","","","","","2022-11-30","2023-05-29 22:52:20","2023-08-24 19:42:58","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/85GI8S4B/0530c Zabrodskyi - Preliminary Lessons in Conventional Warfighting fr.pdf","","Russia; NS3401; Russia - Putin Regime; Russia - Ukraine Invasion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RHJVQ9L5","journalArticle","2023","Massicot, Dara","What Russia Got Wrong: Can Moscow Learn From Its Failures in Ukraine?","Foreign Affairs","","","","","","2023","2023-05-29 22:52:20","2023-08-24 19:42:11","","","","1","102","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/27SG4U8J/0530b Massicot - What Russia Got Wrong.pdf","","Russia; NS3401; Russia - Putin Regime; Russia - Ukraine Invasion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLAW47Q7","document","","de Nevers, Renée; Taylor, Brian D.","Putin’s War of Recolonization","","","","","","","","2023-05-29 22:52:20","2023-08-24 19:41:19","","","","","","","","","","","","","Journal of Democracy","","en","","","","","","","","","/Users/jonathan/Zotero/storage/CHTUCAXN/0530a Nevers - Putin’s War of Recolonization.pdf","","Russia; NS3401; Russia - Putin Regime; Russia - Ukraine Invasion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5425J7GK","journalArticle","2022","Documentary","Putin's Road to War","PBS","","","","https://www.pbs.org/wgbh/frontline/film/putins-road-to-war","","2022","2023-05-29 22:52:20","2023-08-24 19:40:20","","","","","","","","","","","","","","","en","","","","","","","","","","","Russia; NS3401; Russia - Putin Regime; Russia - Ukraine Invasion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XL9HGDT2","journalArticle","2015","Krastev, Ivan","Opinion | Is Vladimir Putin Trying to Teach the West a Lesson in Syria?","The New York Times","","","","","","2015-10-07","2023-05-25 05:18:12","2023-08-24 19:39:15","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/EUY2LJWN/0525e Krastev - Opinion Is Vladimir Putin Trying to Teach the West a Lesson in Syria.pdf","","Russia; NS3401; Russia - Putin Regime; Russia - Threat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JE9BICGL","journalArticle","2023","Matovski, Aleksandar","Russia’s Regime-Survival Realism: How the Quest to Preserve Putinism Drives Russian Aggression","Manuscript","","","","","","2023","2023-05-25 05:18:12","2023-08-24 19:38:16","","","","","","","","","","","","","","","it","","","","","","","","","/Users/jonathan/Zotero/storage/SF77LIQL/0525d Matovski - Russias Regime Survival Realism.pdf","","Russia; NS3401; Russia - Putin Regime; Russia - Threat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QG2PXQHF","journalArticle","2023","McFaul, Michael; Person, Robert","What Putin Fears Most","Journal of Democracy","","","","","","2023-03-01","2023-05-25 05:18:12","2023-08-24 19:37:15","","","","2","33","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/8ZH4YQZL/0525c McFaul_Person - What Putin Fears Most.pdf","","Russia; NS3401; Russia - Putin Regime; Russia - Threat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NUBB3BPM","journalArticle","2017","","Russia’s Wars: A Strategy of Spectacle","The Economist","","","","","","2017","2023-05-25 05:18:12","2023-08-24 19:36:25","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/YPBKAJNW/0525b Economist - Russias Wars A Strategy of Spectacle.pdf","","Russia; NS3401; Russia - Threat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DR8FAFX9","journalArticle","2016","Baev, Pavel K.","What Drives Moscow’s Military Adventurism?","Current History","","","","","","2016","2023-05-25 05:18:12","2023-08-24 19:35:29","","251–57","","783","115","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/7HH36IXI/0525a Baev - What Drives Moscows Military Adventurism.pdf","","Russia; NS3401; Russia - Putin Regime; Russia - Threat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XUGKW599","book","","Jonsson, Oscar","The Russian Understanding of War: Blurring the Lines Between War and Peace","","","","","","","","2023-08-24 19:32:12","2023-08-24 19:34:17","","","","","","","","","","","","","Georgetown University Press","Washington D.C.","","","","","","","","","","/Users/jonathan/Zotero/storage/FBZ56EJD/0522 Jonsson - The Russian Understanding of War.pdf","","Russia; NS3401; Russia - Threat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8AXYED7K","book","2014","Stent, Angela","The limits of partnership: U.S.-Russian relations in the twenty-first century","","978-0-691-15297-4","","","","""The Limits of Partnership offers a riveting narrative on U.S.-Russian relations since the Soviet collapse and on the challenges ahead. It reflects the unique perspective of an insider who is also recognized as a leading expert on this troubled relationship. American presidents have repeatedly attempted to forge a strong and productive partnership only to be held hostage to the deep mistrust born of the Cold War. For the United States, Russia remains a priority because of its nuclear weapons arsenal, its strategic location bordering Europe and Asia, and its ability to support--or thwart--American interests. Why has it been so difficult to move the relationship forward? What are the prospects for doing so in the future? Is the effort doomed to fail again and again?Angela Stent served as an adviser on Russia under Bill Clinton and George W. Bush, and maintains close ties with key policymakers in both countries. Here, she argues that the same contentious issues--terrorism, missile defense, Iran, nuclear proliferation, Afghanistan, the former Soviet space, the greater Middle East--have been in every president's inbox, Democrat and Republican alike, since the collapse of the USSR. Stent vividly describes how Clinton and Bush sought inroads with Russia and staked much on their personal ties to Boris Yeltsin and Vladimir Putin--only to leave office with relations at a low point--and how Barack Obama managed to restore ties only to see them undermined by a Putin regime resentful of American dominance and determined to restore Russia's great power status.The Limits of Partnership calls for a fundamental reassessment of the principles and practices that drive U.S.-Russian relations, and offers a path forward to meet the urgent challenges facing both countries""--","2014","2023-08-24 19:28:39","2023-08-24 19:29:04","","","355","","","","","The limits of partnership","","","","","Princeton University Press","Princeton, New Jersey","en","","","","","Library of Congress ISBN","E183.8.R9 S836 2014","","","/Users/jonathan/Zotero/storage/MLYWQZQM/Stent - 2014 - The limits of partnership U.S.-Russian relations .pdf","","Russia; NS3401; Russia - Threat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I35QA8HG","book","2023","Lo, Bobo","The Sino-Russian Partnership: Assumptions, Myths and Realities","","","","","","","2023","2023-05-31 22:52:47","2023-08-24 19:27:59","","","","","","","","","","","","","French Institute of International Relations","Paris, France","en","","","","","","","","","/Users/jonathan/Zotero/storage/W8KKD27R/0518a Lo - Russia and the New World Order.pdf","","Russia; NS3401; Russia - China; Russia - Threat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YLEUQS6K","document","2016","Aron, Leon","The Coming of Russian Jihad (Parts I & II","","","","","https://warontherocks.com/2016/09/the-coming-of-the-russian-jihad-part-i","","2016","2023-05-15 20:34:45","2023-08-24 19:26:23","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/PX45NZ9E/0516d The Coming of the Russian Jihad.pdf; ; ","https://warontherocks.com/2016/09/the-coming-of-the-russian-jihad-part-i/; https://warontherocks.com/2016/12/the-coming-of-the-russian-jihad-part-ii/","Russia; NS3401; Russia - Putin Regime; Russia - Caucasus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PKHYVDS4","journalArticle","2023","Kassymbekova, Botakoz","Russia Will Only Democratize When It Faces Its War Crimes in the Caucasus and Abandons Imperial Nostalgia","Foreign Policy","","","","","","2023-03-11","2023-05-15 20:34:45","2023-08-24 19:25:23","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/WTU92MTQ/0516c Kassymbekova - Russia will only democratize when it faces its war.pdf","","Russia; NS3401; Russia - Democracy; Russia - Caucasus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D9SRWYRB","document","2016","Yaffa, Joshua","Putin’s Dragon: Is the Ruler of Chechnya Out of Control?","","","","","","","2016","2023-05-15 20:34:45","2023-08-24 19:23:57","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/REGRRRC8/0516b Yaffa - Putins Dragon.pdf","","Russia; NS3401; Russia - Putin Regime; Russia - Caucasus; Russia - Chechnya","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5RBXG25Y","journalArticle","2010","King, Charles; Menon, Rajan","Prisoners of the Caucasus: Russia’s Invisible Civil War","Foreign Affairs","","","","","","2010","2023-05-15 20:34:45","2023-08-24 19:23:14","","20–34","","4","89","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/QHN5EESU/0516a King - Prisoners of the Caucasus.pdf","","Russia; NS3401; Russia - Putin Regime; Russia - Caucasus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BWMIKSSJ","journalArticle","2023","Economist, The","Western Sanctions Will Eventually Impair Russia’s Economy","Accessed","","","","","","2023-03-23","2023-05-10 19:03:11","2023-08-24 02:04:33","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/UAPU9LAX/0511d Economist - Western sanctions will eventually impair Russia’s economy _ The Economist.pdf","","Russia; NS3401; Russia - Putin Regime; Russia - Economy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R2FFC8UP","journalArticle","2023","Sonnenfeld, Jeffrey; Tian, Steven","The World Economy No Longer Needs Russia","Foreign Policy","","","","","","2023-01-19","2023-05-10 19:03:11","2023-08-24 02:03:48","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/99JS24KH/0511c Foreign Policy - The World Economy No Longer Needs Russia.pdf","","Russia; NS3401; Russia - Putin Regime; Russia - Economy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9AJDVZNP","document","2016","","The Economy: Milk Without the Cow","","","","","","","2016","2023-05-10 19:03:11","2023-08-24 02:02:51","","","","","","","","","","","","","","","en","","","","","","","","","/Users/jonathan/Zotero/storage/9IF9KFL6/0511b Economist - Milk without the cow.pdf","","Russia; NS3401; Russia - Putin Regime; Russia - Economy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A2JLD5MU","book","2019","Åslund, Anders","Russia's Crony Capitalism: The Path from Market Economy to Kleptocracy","","","","","","","2019","2023-05-10 19:03:11","2023-08-24 02:01:49","","","","","","","","","","","","","Yale University Press","","en","","","","","","","","","/Users/jonathan/Zotero/storage/UWSHT6WD/0511a Aslund - Russias Crony Capitalism Ch1.pdf; /Users/jonathan/Zotero/storage/79Y583Z6/Aslund Ch3.pdf","","Russia; NS3401; Russia - Putin Regime; Russia - Economy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QB2K5P8J","magazineArticle","2022",", Paul","The Intellectual Catastrophe of Vladimir Putin","Foreign Policy","","","","","","2022","2023-08-24 01:45:07","2023-08-24 01:46:02","","","","","","","","","","","","","","","","","","","","","","","","/Users/jonathan/Zotero/storage/KZ7TIK5H/0509d Berman - The Intellectual Catastrophe of Vladimir Putin_s Philosophy of Nationalism.pdf","","Russia; NS3401; Russia - Identity; Russia - Putin Regime","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HVKH44N9","journalArticle","","Erantsev, Peter Pom","The Hidden Author of Putinism","The Atlantic","","","","","","","2023-08-24 01:43:53","2023-08-24 01:44:19","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/jonathan/Zotero/storage/PDFCFBJR/Erantsev - The Hidden Author of Putinism.pdf","","Russia; NS3401; Russia - Identity; Russia - Putin Regime","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H6LISFFE","journalArticle","2009","Diuk, Nadia","Is There a Key?","Journal of Democracy","","","","","","2009","2023-08-24 01:41:08","2023-08-24 01:43:15","","56-60","","","","","","","","","","","","","","","","","","","","","","/Users/jonathan/Zotero/storage/RFVSYPRX/0509b Diuk - Reading Russia Is There a Key.pdf","","Russia; NS3401; Russia - Identity; Russia - Putin Regime","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HAZDDBLD","bookSection","","McDaniel, Tim","Introduction: Cycles of Breakdown in Russia","The Agony of the Russian Idea","","","","","","","2023-08-24 01:39:06","2023-08-24 01:40:30","","","","","","","","","","","","","Princeton University Press","","en","","","","","Zotero","","","","/Users/jonathan/Zotero/storage/EZSWXGFW/McDaniel - The Agony of the Russian Idea.pdf","","Russia; NS3401; Russia - Identity; Russia - Putin Regime","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9X4RLY6W","journalArticle","2011","Barry, Ellen","Before Voting, Russian Leaders Go to the Polls","New York Times","","","","","","2011-08-16","2023-08-24 01:37:26","2023-08-24 01:38:12","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/jonathan/Zotero/storage/V3QH6W7U/Barry - Before Voting, Russian Leaders Go to the Polls.pdf","","Russia; NS3401; Russia - Democracy; Russia - Putin Regime","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TWKI6XBN","bookSection","2020","Matovski, Aleksandar","The Logic of Vladimir Putin’s Popular Appeal","Citizens and the State in Authoritarian Regimes","978-0-19-009348-8 978-0-19-009352-5","","10.1093/oso/9780190093488.003.0009","https://academic.oup.com/book/33649/chapter/288181474","This chapter traces the roots of the popularity of Vladimir Putin—arguably the most important, controversial, and perplexing aspect of his reign. Based on his image of an indispensable strongman, reversing Russia’s catastrophic post-Soviet decline, Putin’s popularity allowed him to consolidate an authoritarian regime largely through the ballot box and with minimal resort to coercion. But this strongman appeal faded as Russia began to stagnate under his reign. The chapter analyzes how Putin resuscitated his decaying brand with the interventions in Ukraine and Syria, and why he cannot back down from his dangerous crusade to “make Russia great again.”","2020-05-07","2023-08-24 01:36:16","2023-08-24 01:36:54","2023-08-24 01:36:16","217-249","","","","","","","","","","","Oxford University Press","","en","","","","","DOI.org (Crossref)","","","","/Users/jonathan/Zotero/storage/3JHL69X9/Matovski - 2020 - The Logic of Vladimir Putin’s Popular Appeal.pdf","","Russia; NS3401; Russia - Democracy; Russia - Putin Regime","","","","","","","Matovski, Aleksandar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GJ7XDTBJ","journalArticle","2009","Ghia Nodia","The Wounds of Lost Empire","Journal of Democracy","","1086-3214","10.1353/jod.0.0084","http://muse.jhu.edu/content/crossref/journals/journal_of_democracy/v020/20.2.nodia.html","","2009","2023-08-24 01:34:56","2024-05-15 21:05:05","2023-08-24 01:34:56","34-38","","2","20","","Journal of Democracy","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jonathan/Zotero/storage/P8LRRQPQ/Ghia Nodia - 2009 - The Wounds of Lost Empire.pdf","","Russia; Russia - Democracy; Russia - Putin Regime","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LDSDMV7V","journalArticle","2009","Robertson, Graeme B.","Managing Society: Protest, Civil Society, and Regime in Putin's Russia","Slavic Review","","","","http://www.jstor.org/stable/25621654","","2009","2023-05-02 01:01:58","2023-08-24 01:32:59","","528-547","","3","68","","","","","","","","","","en","","","","","Zotero","","","","/Users/jonathan/Zotero/storage/J6CRL9H4/Robertson - 2009 - Managing Society Protest, Civil Society, and Regi.pdf","","Russia; NS3401; Russia - Putin Regime","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
